Incident energy,sigma
98.46381,1.806394E-8
98.48215,1.807903E-8
98.50048,1.80941E-8
98.51882,1.810919E-8
98.53716,1.812427E-8
98.5555,1.813935E-8
98.57383,1.815443E-8
98.6105,1.818458E-8
98.64717,1.821474E-8
98.67336,1.823628E-8
98.69954,1.825781E-8
98.7519,1.830088E-8
98.79904,1.833964E-8
98.84617,1.837841E-8
98.9079,1.842917E-8
98.96963,1.847994E-8
99.0005,1.850533E-8
99.03136,1.853071E-8
99.06222,1.855609E-8
99.09308,1.858147E-8
99.1096,1.859506E-8
99.12611,1.860864E-8
99.14263,1.862222E-8
99.15914,1.86358E-8
99.17566,1.864939E-8
99.19217,1.866297E-8
99.20868,1.867654E-8
99.22519,1.869012E-8
99.24099,1.870312E-8
99.25678,1.87161E-8
99.27258,1.87291E-8
99.28837,1.874208E-8
99.32103,1.876894E-8
99.35369,1.87958E-8
99.4089,1.884121E-8
99.44045,1.886716E-8
99.472,1.88931E-8
99.49567,1.891257E-8
99.51933,1.893203E-8
99.55391,1.896046E-8
99.58849,1.898889E-8
99.62307,1.901731E-8
99.65764,1.90457E-8
99.70222,1.908227E-8
99.7468,1.911873E-8
99.76909,1.913689E-8
99.79138,1.9155E-8
99.81367,1.917303E-8
99.83595,1.919097E-8
99.85646,1.920739E-8
99.87697,1.92237E-8
99.89748,1.92399E-8
99.91798,1.925595E-8
99.93849,1.927187E-8
99.95899,1.928763E-8
99.9795,1.930323E-8
100.0,1.931866E-8
100.0184,1.933237E-8
100.0368,1.934594E-8
100.0552,1.935939E-8
100.0735,1.937263E-8
100.1102,1.939885E-8
100.1469,1.942466E-8
100.1857,1.945159E-8
100.2245,1.947826E-8
100.2547,1.949888E-8
100.2747,1.951249E-8
100.2947,1.952607E-8
100.3018,1.953088E-8
100.3173,1.954139E-8
100.3328,1.955188E-8
100.3518,1.956474E-8
100.3708,1.957759E-8
100.4087,1.960319E-8
100.4711,1.964533E-8
100.5023,1.96664E-8
100.5334,1.96874E-8
100.5512,1.969941E-8
100.569,1.971143E-8
100.5868,1.972345E-8
100.6046,1.973546E-8
100.6158,1.974302E-8
100.6269,1.975052E-8
100.6381,1.975808E-8
100.6492,1.976557E-8
100.6604,1.977313E-8
100.6715,1.978063E-8
100.6937,1.979561E-8
100.7116,1.98077E-8
100.7294,1.981971E-8
100.7472,1.983173E-8
100.765,1.984375E-8
100.8006,1.986778E-8
100.8362,1.989181E-8
100.8741,1.99174E-8
100.9119,1.994292E-8
100.9386,1.996094E-8
100.9605,1.997573E-8
100.9824,1.999051E-8
101.0043,2.00053E-8
101.0242,2.001873E-8
101.044,2.00321E-8
101.0765,2.005404E-8
101.109,2.007598E-8
101.1704,2.011743E-8
101.2011,2.013815E-8
101.2317,2.015881E-8
101.2522,2.017265E-8
101.2726,2.018642E-8
101.2931,2.020026E-8
101.3135,2.021403E-8
101.334,2.022787E-8
